PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=82 ttl=114 time=27.5 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=114 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=114 time=24.2 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=114 time=31.0 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=114 time=27.0 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=114 time=39.1 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=114 time=35.3 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=114 time=29.3 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=114 time=93.1 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=114 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=114 time=21.5 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=114 time=47.2 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=114 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=114 time=32.3 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=114 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=114 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=114 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=101 ttl=114 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=102 ttl=114 time=27.5 ms
64 bytes from 8.8.8.8: icmp_seq=103 ttl=114 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=104 ttl=114 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=105 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=106 ttl=114 time=23.9 ms
64 bytes from 8.8.8.8: icmp_seq=107 ttl=114 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=108 ttl=114 time=49.7 ms
64 bytes from 8.8.8.8: icmp_seq=109 ttl=114 time=31.9 ms
