PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=354 ttl=114 time=26.6 ms
64 bytes from 8.8.8.8: icmp_seq=355 ttl=114 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=356 ttl=114 time=29.6 ms
64 bytes from 8.8.8.8: icmp_seq=357 ttl=114 time=31.1 ms
64 bytes from 8.8.8.8: icmp_seq=358 ttl=114 time=29.4 ms
64 bytes from 8.8.8.8: icmp_seq=359 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=360 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=361 ttl=114 time=29.6 ms
64 bytes from 8.8.8.8: icmp_seq=362 ttl=114 time=56.0 ms
64 bytes from 8.8.8.8: icmp_seq=363 ttl=114 time=29.4 ms
64 bytes from 8.8.8.8: icmp_seq=364 ttl=114 time=34.8 ms
64 bytes from 8.8.8.8: icmp_seq=365 ttl=114 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=366 ttl=114 time=45.3 ms
64 bytes from 8.8.8.8: icmp_seq=367 ttl=114 time=35.9 ms
64 bytes from 8.8.8.8: icmp_seq=368 ttl=114 time=23.9 ms
64 bytes from 8.8.8.8: icmp_seq=369 ttl=114 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=370 ttl=114 time=29.5 ms
64 bytes from 8.8.8.8: icmp_seq=371 ttl=114 time=56.5 ms
64 bytes from 8.8.8.8: icmp_seq=372 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=373 ttl=114 time=29.4 ms
64 bytes from 8.8.8.8: icmp_seq=374 ttl=114 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=375 ttl=114 time=22.2 ms
64 bytes from 8.8.8.8: icmp_seq=376 ttl=114 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=377 ttl=114 time=28.5 ms
64 bytes from 8.8.8.8: icmp_seq=378 ttl=114 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=379 ttl=114 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=380 ttl=114 time=29.6 ms
64 bytes from 8.8.8.8: icmp_seq=381 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=382 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=383 ttl=114 time=26.4 ms
64 bytes from 8.8.8.8: icmp_seq=384 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=385 ttl=114 time=29.2 ms
64 bytes from 8.8.8.8: icmp_seq=386 ttl=114 time=36.3 ms
64 bytes from 8.8.8.8: icmp_seq=387 ttl=114 time=34.4 ms
64 bytes from 8.8.8.8: icmp_seq=388 ttl=114 time=40.9 ms
64 bytes from 8.8.8.8: icmp_seq=389 ttl=114 time=48.6 ms
64 bytes from 8.8.8.8: icmp_seq=390 ttl=114 time=29.5 ms
64 bytes from 8.8.8.8: icmp_seq=391 ttl=114 time=46.5 ms
64 bytes from 8.8.8.8: icmp_seq=392 ttl=114 time=25.0 ms
64 bytes from 8.8.8.8: icmp_seq=393 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=394 ttl=114 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=395 ttl=114 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=396 ttl=114 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=397 ttl=114 time=30.6 ms
64 bytes from 8.8.8.8: icmp_seq=398 ttl=114 time=58.4 ms
64 bytes from 8.8.8.8: icmp_seq=399 ttl=114 time=27.3 ms
64 bytes from 8.8.8.8: icmp_seq=400 ttl=114 time=144 ms
64 bytes from 8.8.8.8: icmp_seq=401 ttl=114 time=50.4 ms
64 bytes from 8.8.8.8: icmp_seq=402 ttl=114 time=114 ms
64 bytes from 8.8.8.8: icmp_seq=403 ttl=114 time=333 ms
64 bytes from 8.8.8.8: icmp_seq=404 ttl=114 time=142 ms
64 bytes from 8.8.8.8: icmp_seq=405 ttl=114 time=29.0 ms
64 bytes from 8.8.8.8: icmp_seq=406 ttl=114 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=407 ttl=114 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=408 ttl=114 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=409 ttl=114 time=27.2 ms
64 bytes from 8.8.8.8: icmp_seq=410 ttl=114 time=105 ms
64 bytes from 8.8.8.8: icmp_seq=411 ttl=114 time=74.7 ms
64 bytes from 8.8.8.8: icmp_seq=412 ttl=114 time=78.7 ms
64 bytes from 8.8.8.8: icmp_seq=413 ttl=114 time=43.3 ms
64 bytes from 8.8.8.8: icmp_seq=414 ttl=114 time=37.7 ms
64 bytes from 8.8.8.8: icmp_seq=415 ttl=114 time=26.4 ms
64 bytes from 8.8.8.8: icmp_seq=416 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=417 ttl=114 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=418 ttl=114 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=419 ttl=114 time=26.6 ms
64 bytes from 8.8.8.8: icmp_seq=420 ttl=114 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=421 ttl=114 time=29.8 ms
64 bytes from 8.8.8.8: icmp_seq=422 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=423 ttl=114 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=424 ttl=114 time=26.5 ms
64 bytes from 8.8.8.8: icmp_seq=425 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=426 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=427 ttl=114 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=428 ttl=114 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=429 ttl=114 time=54.1 ms
64 bytes from 8.8.8.8: icmp_seq=430 ttl=114 time=27.3 ms
64 bytes from 8.8.8.8: icmp_seq=431 ttl=114 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=432 ttl=114 time=26.0 ms
64 bytes from 8.8.8.8: icmp_seq=433 ttl=114 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=434 ttl=114 time=26.5 ms
64 bytes from 8.8.8.8: icmp_seq=435 ttl=114 time=32.0 ms
64 bytes from 8.8.8.8: icmp_seq=436 ttl=114 time=39.5 ms
64 bytes from 8.8.8.8: icmp_seq=437 ttl=114 time=39.9 ms
64 bytes from 8.8.8.8: icmp_seq=438 ttl=114 time=23.9 ms
64 bytes from 8.8.8.8: icmp_seq=439 ttl=114 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=440 ttl=114 time=27.5 ms
64 bytes from 8.8.8.8: icmp_seq=441 ttl=114 time=30.0 ms
64 bytes from 8.8.8.8: icmp_seq=442 ttl=114 time=25.0 ms
64 bytes from 8.8.8.8: icmp_seq=443 ttl=114 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=444 ttl=114 time=27.1 ms
64 bytes from 8.8.8.8: icmp_seq=445 ttl=114 time=25.9 ms
64 bytes from 8.8.8.8: icmp_seq=446 ttl=114 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=447 ttl=114 time=28.0 ms
64 bytes from 8.8.8.8: icmp_seq=448 ttl=114 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=449 ttl=114 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=450 ttl=114 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=451 ttl=114 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=452 ttl=114 time=18.4 ms
64 bytes from 8.8.8.8: icmp_seq=453 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=454 ttl=114 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=455 ttl=114 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=456 ttl=114 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=457 ttl=114 time=24.6 ms
64 bytes from 8.8.8.8: icmp_seq=458 ttl=114 time=28.6 ms
64 bytes from 8.8.8.8: icmp_seq=459 ttl=114 time=29.5 ms
64 bytes from 8.8.8.8: icmp_seq=460 ttl=114 time=37.3 ms
64 bytes from 8.8.8.8: icmp_seq=461 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=462 ttl=114 time=28.6 ms
64 bytes from 8.8.8.8: icmp_seq=463 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=464 ttl=114 time=40.1 ms
64 bytes from 8.8.8.8: icmp_seq=465 ttl=114 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=466 ttl=114 time=36.0 ms
64 bytes from 8.8.8.8: icmp_seq=467 ttl=114 time=35.9 ms
64 bytes from 8.8.8.8: icmp_seq=468 ttl=114 time=26.1 ms
64 bytes from 8.8.8.8: icmp_seq=469 ttl=114 time=35.5 ms
64 bytes from 8.8.8.8: icmp_seq=470 ttl=114 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=471 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=472 ttl=114 time=19.4 ms
64 bytes from 8.8.8.8: icmp_seq=473 ttl=114 time=39.2 ms
64 bytes from 8.8.8.8: icmp_seq=474 ttl=114 time=24.2 ms
64 bytes from 8.8.8.8: icmp_seq=475 ttl=114 time=34.2 ms
64 bytes from 8.8.8.8: icmp_seq=476 ttl=114 time=34.7 ms
64 bytes from 8.8.8.8: icmp_seq=477 ttl=114 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=478 ttl=114 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=479 ttl=114 time=27.8 ms
64 bytes from 8.8.8.8: icmp_seq=480 ttl=114 time=31.6 ms
64 bytes from 8.8.8.8: icmp_seq=481 ttl=114 time=34.0 ms
64 bytes from 8.8.8.8: icmp_seq=482 ttl=114 time=28.6 ms
64 bytes from 8.8.8.8: icmp_seq=483 ttl=114 time=37.7 ms
64 bytes from 8.8.8.8: icmp_seq=484 ttl=114 time=28.2 ms
64 bytes from 8.8.8.8: icmp_seq=485 ttl=114 time=24.9 ms
64 bytes from 8.8.8.8: icmp_seq=486 ttl=114 time=24.4 ms
64 bytes from 8.8.8.8: icmp_seq=487 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=488 ttl=114 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=489 ttl=114 time=29.4 ms
64 bytes from 8.8.8.8: icmp_seq=490 ttl=114 time=29.6 ms
64 bytes from 8.8.8.8: icmp_seq=491 ttl=114 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=492 ttl=114 time=33.4 ms
64 bytes from 8.8.8.8: icmp_seq=493 ttl=114 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=494 ttl=114 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=495 ttl=114 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=496 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=497 ttl=114 time=26.8 ms
64 bytes from 8.8.8.8: icmp_seq=498 ttl=114 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=499 ttl=114 time=28.4 ms
64 bytes from 8.8.8.8: icmp_seq=500 ttl=114 time=34.0 ms
64 bytes from 8.8.8.8: icmp_seq=501 ttl=114 time=27.5 ms
64 bytes from 8.8.8.8: icmp_seq=502 ttl=114 time=34.1 ms
64 bytes from 8.8.8.8: icmp_seq=503 ttl=114 time=39.7 ms
64 bytes from 8.8.8.8: icmp_seq=504 ttl=114 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=505 ttl=114 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=506 ttl=114 time=30.1 ms
64 bytes from 8.8.8.8: icmp_seq=507 ttl=114 time=32.9 ms
64 bytes from 8.8.8.8: icmp_seq=508 ttl=114 time=28.5 ms
64 bytes from 8.8.8.8: icmp_seq=509 ttl=114 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=510 ttl=114 time=33.2 ms
64 bytes from 8.8.8.8: icmp_seq=511 ttl=114 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=512 ttl=114 time=26.4 ms
64 bytes from 8.8.8.8: icmp_seq=513 ttl=114 time=30.7 ms
64 bytes from 8.8.8.8: icmp_seq=514 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=515 ttl=114 time=27.6 ms
64 bytes from 8.8.8.8: icmp_seq=516 ttl=114 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=517 ttl=114 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=518 ttl=114 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=519 ttl=114 time=26.1 ms
64 bytes from 8.8.8.8: icmp_seq=520 ttl=114 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=521 ttl=114 time=26.8 ms
64 bytes from 8.8.8.8: icmp_seq=522 ttl=114 time=27.4 ms
64 bytes from 8.8.8.8: icmp_seq=523 ttl=114 time=30.0 ms
64 bytes from 8.8.8.8: icmp_seq=524 ttl=114 time=34.1 ms
64 bytes from 8.8.8.8: icmp_seq=525 ttl=114 time=34.1 ms
64 bytes from 8.8.8.8: icmp_seq=526 ttl=114 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=527 ttl=114 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=528 ttl=114 time=50.9 ms
64 bytes from 8.8.8.8: icmp_seq=529 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=530 ttl=114 time=27.6 ms
64 bytes from 8.8.8.8: icmp_seq=531 ttl=114 time=30.2 ms
64 bytes from 8.8.8.8: icmp_seq=532 ttl=114 time=24.9 ms
64 bytes from 8.8.8.8: icmp_seq=533 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=534 ttl=114 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=535 ttl=114 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=536 ttl=114 time=24.4 ms
64 bytes from 8.8.8.8: icmp_seq=537 ttl=114 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=538 ttl=114 time=27.8 ms
64 bytes from 8.8.8.8: icmp_seq=539 ttl=114 time=26.2 ms
64 bytes from 8.8.8.8: icmp_seq=540 ttl=114 time=25.9 ms
64 bytes from 8.8.8.8: icmp_seq=541 ttl=114 time=24.6 ms
64 bytes from 8.8.8.8: icmp_seq=542 ttl=114 time=27.4 ms
64 bytes from 8.8.8.8: icmp_seq=543 ttl=114 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=544 ttl=114 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=545 ttl=114 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=546 ttl=114 time=35.1 ms
64 bytes from 8.8.8.8: icmp_seq=547 ttl=114 time=27.3 ms
64 bytes from 8.8.8.8: icmp_seq=548 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=549 ttl=114 time=29.2 ms
64 bytes from 8.8.8.8: icmp_seq=550 ttl=114 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=551 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=552 ttl=114 time=29.8 ms
64 bytes from 8.8.8.8: icmp_seq=553 ttl=114 time=33.2 ms
64 bytes from 8.8.8.8: icmp_seq=554 ttl=114 time=33.4 ms
64 bytes from 8.8.8.8: icmp_seq=555 ttl=114 time=27.8 ms
64 bytes from 8.8.8.8: icmp_seq=556 ttl=114 time=30.3 ms
64 bytes from 8.8.8.8: icmp_seq=557 ttl=114 time=28.3 ms
64 bytes from 8.8.8.8: icmp_seq=558 ttl=114 time=31.8 ms
64 bytes from 8.8.8.8: icmp_seq=559 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=560 ttl=114 time=58.6 ms
64 bytes from 8.8.8.8: icmp_seq=561 ttl=114 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=562 ttl=114 time=19.7 ms
64 bytes from 8.8.8.8: icmp_seq=563 ttl=114 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=564 ttl=114 time=43.2 ms
64 bytes from 8.8.8.8: icmp_seq=565 ttl=114 time=26.1 ms
64 bytes from 8.8.8.8: icmp_seq=566 ttl=114 time=30.8 ms
64 bytes from 8.8.8.8: icmp_seq=567 ttl=114 time=39.7 ms
64 bytes from 8.8.8.8: icmp_seq=568 ttl=114 time=26.9 ms
64 bytes from 8.8.8.8: icmp_seq=569 ttl=114 time=21.1 ms
64 bytes from 8.8.8.8: icmp_seq=570 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=571 ttl=114 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=572 ttl=114 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=573 ttl=114 time=32.3 ms
64 bytes from 8.8.8.8: icmp_seq=574 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=575 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=576 ttl=114 time=31.0 ms
64 bytes from 8.8.8.8: icmp_seq=577 ttl=114 time=31.4 ms
64 bytes from 8.8.8.8: icmp_seq=578 ttl=114 time=41.0 ms
64 bytes from 8.8.8.8: icmp_seq=579 ttl=114 time=33.7 ms
64 bytes from 8.8.8.8: icmp_seq=580 ttl=114 time=46.0 ms
64 bytes from 8.8.8.8: icmp_seq=581 ttl=114 time=31.6 ms
64 bytes from 8.8.8.8: icmp_seq=582 ttl=114 time=28.6 ms
64 bytes from 8.8.8.8: icmp_seq=583 ttl=114 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=584 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=585 ttl=114 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=586 ttl=114 time=28.0 ms
64 bytes from 8.8.8.8: icmp_seq=587 ttl=114 time=27.0 ms
64 bytes from 8.8.8.8: icmp_seq=588 ttl=114 time=26.0 ms
64 bytes from 8.8.8.8: icmp_seq=589 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=590 ttl=114 time=26.4 ms
64 bytes from 8.8.8.8: icmp_seq=591 ttl=114 time=26.0 ms
64 bytes from 8.8.8.8: icmp_seq=592 ttl=114 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=593 ttl=114 time=25.0 ms
64 bytes from 8.8.8.8: icmp_seq=594 ttl=114 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=595 ttl=114 time=26.5 ms
64 bytes from 8.8.8.8: icmp_seq=596 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=597 ttl=114 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=598 ttl=114 time=27.2 ms
64 bytes from 8.8.8.8: icmp_seq=599 ttl=114 time=31.1 ms
64 bytes from 8.8.8.8: icmp_seq=600 ttl=114 time=25.4 ms
64 bytes from 8.8.8.8: icmp_seq=601 ttl=114 time=33.8 ms
64 bytes from 8.8.8.8: icmp_seq=602 ttl=114 time=54.8 ms
64 bytes from 8.8.8.8: icmp_seq=603 ttl=114 time=35.3 ms
64 bytes from 8.8.8.8: icmp_seq=604 ttl=114 time=29.8 ms
64 bytes from 8.8.8.8: icmp_seq=605 ttl=114 time=29.5 ms
64 bytes from 8.8.8.8: icmp_seq=606 ttl=114 time=37.2 ms
64 bytes from 8.8.8.8: icmp_seq=607 ttl=114 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=608 ttl=114 time=32.3 ms
64 bytes from 8.8.8.8: icmp_seq=609 ttl=114 time=26.5 ms
64 bytes from 8.8.8.8: icmp_seq=610 ttl=114 time=26.1 ms
64 bytes from 8.8.8.8: icmp_seq=611 ttl=114 time=24.6 ms
64 bytes from 8.8.8.8: icmp_seq=612 ttl=114 time=35.0 ms
64 bytes from 8.8.8.8: icmp_seq=613 ttl=114 time=26.2 ms
64 bytes from 8.8.8.8: icmp_seq=614 ttl=114 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=615 ttl=114 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=616 ttl=114 time=37.2 ms
64 bytes from 8.8.8.8: icmp_seq=617 ttl=114 time=25.9 ms
64 bytes from 8.8.8.8: icmp_seq=618 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=619 ttl=114 time=26.7 ms
64 bytes from 8.8.8.8: icmp_seq=620 ttl=114 time=29.1 ms
64 bytes from 8.8.8.8: icmp_seq=621 ttl=114 time=50.9 ms
64 bytes from 8.8.8.8: icmp_seq=622 ttl=114 time=30.0 ms
64 bytes from 8.8.8.8: icmp_seq=623 ttl=114 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=624 ttl=114 time=27.0 ms
64 bytes from 8.8.8.8: icmp_seq=625 ttl=114 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=626 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=627 ttl=114 time=28.7 ms
64 bytes from 8.8.8.8: icmp_seq=628 ttl=114 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=629 ttl=114 time=25.4 ms
64 bytes from 8.8.8.8: icmp_seq=630 ttl=114 time=24.9 ms
64 bytes from 8.8.8.8: icmp_seq=631 ttl=114 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=632 ttl=114 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=633 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=634 ttl=114 time=27.1 ms
64 bytes from 8.8.8.8: icmp_seq=635 ttl=114 time=28.6 ms
64 bytes from 8.8.8.8: icmp_seq=636 ttl=114 time=40.8 ms
64 bytes from 8.8.8.8: icmp_seq=637 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=638 ttl=114 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=639 ttl=114 time=34.7 ms
64 bytes from 8.8.8.8: icmp_seq=640 ttl=114 time=26.9 ms
64 bytes from 8.8.8.8: icmp_seq=641 ttl=114 time=30.9 ms
64 bytes from 8.8.8.8: icmp_seq=642 ttl=114 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=643 ttl=114 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=644 ttl=114 time=28.8 ms
64 bytes from 8.8.8.8: icmp_seq=645 ttl=114 time=30.8 ms
64 bytes from 8.8.8.8: icmp_seq=646 ttl=114 time=37.5 ms
64 bytes from 8.8.8.8: icmp_seq=647 ttl=114 time=38.5 ms
64 bytes from 8.8.8.8: icmp_seq=648 ttl=114 time=34.1 ms
64 bytes from 8.8.8.8: icmp_seq=649 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=650 ttl=114 time=28.3 ms
64 bytes from 8.8.8.8: icmp_seq=651 ttl=114 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=652 ttl=114 time=30.1 ms
64 bytes from 8.8.8.8: icmp_seq=653 ttl=114 time=29.6 ms
64 bytes from 8.8.8.8: icmp_seq=654 ttl=114 time=26.4 ms
64 bytes from 8.8.8.8: icmp_seq=655 ttl=114 time=27.4 ms
64 bytes from 8.8.8.8: icmp_seq=656 ttl=114 time=81.9 ms
64 bytes from 8.8.8.8: icmp_seq=657 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=658 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=659 ttl=114 time=27.5 ms
64 bytes from 8.8.8.8: icmp_seq=660 ttl=114 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=661 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=662 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=663 ttl=114 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=664 ttl=114 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=665 ttl=114 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=666 ttl=114 time=28.0 ms
64 bytes from 8.8.8.8: icmp_seq=667 ttl=114 time=32.2 ms
64 bytes from 8.8.8.8: icmp_seq=668 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=669 ttl=114 time=25.0 ms
64 bytes from 8.8.8.8: icmp_seq=670 ttl=114 time=62.3 ms
64 bytes from 8.8.8.8: icmp_seq=671 ttl=114 time=31.2 ms
64 bytes from 8.8.8.8: icmp_seq=672 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=673 ttl=114 time=28.6 ms
64 bytes from 8.8.8.8: icmp_seq=674 ttl=114 time=27.2 ms
64 bytes from 8.8.8.8: icmp_seq=675 ttl=114 time=26.2 ms
64 bytes from 8.8.8.8: icmp_seq=676 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=677 ttl=114 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=678 ttl=114 time=27.0 ms
64 bytes from 8.8.8.8: icmp_seq=679 ttl=114 time=25.4 ms
64 bytes from 8.8.8.8: icmp_seq=680 ttl=114 time=24.4 ms
64 bytes from 8.8.8.8: icmp_seq=681 ttl=114 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=682 ttl=114 time=25.8 ms
64 bytes from 8.8.8.8: icmp_seq=683 ttl=114 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=684 ttl=114 time=24.1 ms
64 bytes from 8.8.8.8: icmp_seq=685 ttl=114 time=29.9 ms
64 bytes from 8.8.8.8: icmp_seq=686 ttl=114 time=30.3 ms
64 bytes from 8.8.8.8: icmp_seq=687 ttl=114 time=24.6 ms
64 bytes from 8.8.8.8: icmp_seq=688 ttl=114 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=689 ttl=114 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=690 ttl=114 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=691 ttl=114 time=28.1 ms
64 bytes from 8.8.8.8: icmp_seq=692 ttl=114 time=26.4 ms
64 bytes from 8.8.8.8: icmp_seq=693 ttl=114 time=29.1 ms
64 bytes from 8.8.8.8: icmp_seq=694 ttl=114 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=695 ttl=114 time=33.9 ms
64 bytes from 8.8.8.8: icmp_seq=696 ttl=114 time=28.8 ms
64 bytes from 8.8.8.8: icmp_seq=697 ttl=114 time=33.0 ms
64 bytes from 8.8.8.8: icmp_seq=698 ttl=114 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=699 ttl=114 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=700 ttl=114 time=28.4 ms
64 bytes from 8.8.8.8: icmp_seq=701 ttl=114 time=25.9 ms
64 bytes from 8.8.8.8: icmp_seq=702 ttl=114 time=46.4 ms
64 bytes from 8.8.8.8: icmp_seq=703 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=704 ttl=114 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=705 ttl=114 time=21.5 ms
64 bytes from 8.8.8.8: icmp_seq=706 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=707 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=708 ttl=114 time=31.0 ms
64 bytes from 8.8.8.8: icmp_seq=709 ttl=114 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=710 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=711 ttl=114 time=23.1 ms
